ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
ジャネット・ジャクソンはラトヤ・ジャクソンより人気がある。彼女には同じ程度の数のファンをがいないのだ。	ジャネット・ジャクソンはラトヤ・ジャクソンより人気がある。ラトヤ・ジャクソンには同じ程度の数のファンをがいないのだ。	ジャネット・ジャクソンはラトヤ・ジャクソンより人気がある。ジャネット・ジャクソンには同じ程度の数のファンをがいないのだ。
スティーブン・コルバートはジョン・スチュワートより面白い。彼のコメディの方が優れているからだ。	スティーブン・コルバートはジョン・スチュワートより面白い。スティーブン・コルバートコメディの方が優れているからだ。	スティーブン・コルバートはジョン・スチュワートより面白い。ジョン・スチュワートコメディの方が優れているからだ。
スティーブン・コルバートはジョン・スチュワートより面白い。彼のショーの方がお客が少ない。	スティーブン・コルバートはジョン・スチュワートより面白い。ジョン・スチュワートショーの方がお客が少ない。	スティーブン・コルバートはジョン・スチュワートより面白い。スティーブン・コルバートショーの方がお客が少ない。
リック・デイビスはジョン・マッケインのために選挙運動を行った。彼は在職中に彼を一番良くサポートできるからだ。	リック・デイビスはジョン・マッケインのために選挙運動を行った。リック・デイビスは在職中に彼を一番良くサポートできるからだ。	リック・デイビスはジョン・マッケインのために選挙運動を行った。ジョン・マッケインは在職中に彼を一番良くサポートできるからだ。
リック・デイビスはジョン・マッケインのために選挙運動を行った。彼が職務に最も適任だからだ。	リック・デイビスはジョン・マッケインのために選挙運動を行った。ジョン・マッケインが職務に最も適任だからだ。	リック・デイビスはジョン・マッケインのために選挙運動を行った。リック・デイビスが職務に最も適任だからだ。
サイモン・カウウェルはライアン・シークレストをからかう。彼は優越感を抱いているのだ。	サイモン・カウウェルはライアン・シークレストをからかう。サイモン・カウウェルは優越感を抱いているのだ。	サイモン・カウウェルはライアン・シークレストをからかう。ライアン・シークレストは優越感を抱いているのだ。
サイモン・カウウェルはライアン・シークレストをからかう。彼は女性的と思われているからだ。	サイモン・カウウェルはライアン・シークレストをからかう。ライアン・シークレストは女性的と思われているからだ。	サイモン・カウウェルはライアン・シークレストをからかう。サイモン・カウウェルは女性的と思われているからだ。
貧者は富裕者から盗む。彼らはもっと金が必要だからだ。	貧者は富裕者から盗む。貧者はもっと金が必要だからだ。	貧者は富裕者から盗む。富裕者はもっと金が必要だからだ。
貧者は富裕者から盗む。彼らは金目のもをより多く所有しているからだ。	貧者は富裕者から盗む。富裕者は金目のもをより多く所有しているからだ。	貧者は富裕者から盗む。貧者は金目のもをより多く所有しているからだ。
兄はボードゲームでいつも弟を負かす。彼の方が年上で賢いからだ。	兄はボードゲームでいつも弟を負かす。兄の方が年上で賢いからだ。	兄はボードゲームでいつも弟を負かす。弟の方が年上で賢いからだ。
兄はボードゲームでいつも弟を負かす。彼はゲームが得意ではないからだ。	兄はボードゲームでいつも弟を負かす。弟はゲームが得意ではないからだ。	兄はボードゲームでいつも弟を負かす。兄はゲームが得意ではないからだ。
セールスマンはお客に温水浴槽を売った。彼は何か浸かれるような物を探していたからだ。	セールスマンはお客に温水浴槽を売った。お客は何か浸かれるような物を探していたからだ。	セールスマンはお客に温水浴槽を売った。セールスマンは何か浸かれるような物を探していたからだ。
